Year,Average population,Live births,Deaths,Natural change,"Crude birth rate (per 1,000)","Crude death rate (per 1,000)","Natural change (per 1,000)",TFR (USA)
1975,"215,465,000","3,144,198","1,892,879","1,251,319",14.6,8.8,5.8,1.774
1976,"217,563,000","3,167,788","1,909,440","1,258,348",14.6,8.8,5.8,1.738
1977,"219,760,000","3,326,632","1,899,597","1,427,035",15.1,8.6,6.5,1.789
1978,"222,095,000","3,333,279","1,927,788","1,405,491",15,8.7,6.3,1.76
1979,"224,567,000","3,494,398","1,913,841","1,580,557",15.6,8.5,7.1,1.808
1980,"227,225,000","3,612,258","1,989,841","1,622,417",15.9,8.8,7.1,1.839
1981,"229,466,000","3,629,238","1,977,981","1,651,257",15.8,8.6,7.2,1.812
1982,"231,664,000","3,680,537","1,974,797","1,705,740",15.9,8.5,7.4,1.827
1983,"233,792,000","3,638,933","2,019,201","1,619,732",15.6,8.6,6.9,1.799
1984,"235,825,000","3,669,141","2,039,369","1,629,772",15.6,8.6,6.9,1.806
1985,"237,924,000","3,760,561","2,086,440","1,674,121",15.8,8.8,7,1.844
1986,"240,133,000","3,756,547","2,105,361","1,651,186",15.6,8.8,6.9,1.837
1987,"242,289,000","3,809,394","2,123,323","1,686,071",15.7,8.8,7,1.872
1988,"244,499,000","3,909,510","2,167,999","1,741,511",16,8.9,7.1,1.934
1989,"246,819,000","4,040,958","2,150,466","1,890,492",16.4,8.7,7.7,2.014
1990,"249,623,000","4,158,212","2,148,463","2,009,749",16.7,8.6,8.1,2.081
1991,"252,981,000","4,110,907","2,169,518","1,941,389",16.2,8.6,7.7,2.062
1992,"256,514,000","4,065,014","2,175,613","1,889,401",15.8,8.5,7.4,2.046
1993,"259,919,000","4,000,240","2,268,553","1,731,687",15.4,8.7,6.7,2.019
1994,"263,126,000","3,952,767","2,278,994","1,673,773",15,8.7,6.4,2.001
1995,"266,278,000","3,899,589","2,312,132","1,587,457",14.6,8.7,6,1.978
1996,"269,394,000","3,891,494","2,314,690","1,576,804",14.4,8.6,5.9,1.976
1997,"272,647,000","3,880,894","2,314,245","1,566,649",14.2,8.5,5.7,1.971
1998,"275,854,000","3,941,553","2,337,256","1,604,297",14.3,8.5,5.8,1.999
1999,"279,040,000","3,959,417","2,391,399","1,568,018",14.2,8.6,5.6,2.007
2000,"282,172,000","4,058,814","2,403,351","1,655,463",14.4,8.5,5.9,2.056
2001,"285,082,000","4,025,933","2,416,425","1,609,508",14.1,8.5,5.6,2.03
2002,"287,804,000","4,021,726","2,443,387","1,578,339",14,8.5,5.5,2.02
2003,"290,326,000","4,089,950","2,448,288","1,641,662",14.1,8.4,5.5,2.047
2004,"293,046,000","4,112,052","2,397,615","1,714,437",14,8.2,5.9,2.051
2005,"295,753,000","4,138,349","2,448,017","1,690,332",14,8.3,5.7,2.057
2006,"298,593,000","4,265,555","2,426,264","1,839,291",14.3,8.1,6.2,2.108
2007,"301,580,000","4,316,234","2,423,712","1,892,522",14.3,8,6.3,2.12
2008,"304,375,000","4,247,694","2,471,984","1,775,710",14,8.1,5.9,2.072
2009,"307,007,000","4,130,665","2,437,163","1,693,502",13.5,7.9,5.6,2.002
2010,"309,330,000","3,999,386","2,468,435","1,530,951",13,8,5,1.931
2011,"311,583,000","3,953,590","2,515,458","1,438,412",12.7,8.1,4.6,1.894
2012,"313,874,000","3,952,841","2,543,279","1,409,562",12.6,8.1,4.5,1.88
2013,"316,129,000","3,932,181","2,596,993","1,336,183",12.4,8.2,4.2,1.857
2014,"319,113,000","3,988,076","2,626,418","1,361,658",12.5,8.2,4.3,1.862
2015,"321,442,000","3,978,497","2,712,630","1,265,867",12.4,8.4,4,1.843
2016,"323,100,000","3,945,875","2,744,248","1,201,627",12.2,8.5,3.7,1.82
2017,"325,719,000","3,855,500","2,813,503","1,041,997",11.8,8.7,3.1,1.765
2018,"327,167,000","3,791,712","2,835,038","956,674",11.6,8.7,2.9,1.729
