Year,State,Age Group (Years),State Rate,State Births,U.S. Births,U.S. Birth Rate,Unit
1990,North Carolina,15-17 years,44.9,5946,183327,37.5,"per 1,000"
1990,North Dakota,15-17 years,15.6,201,183327,37.5,"per 1,000"
1990,Ohio,15-17 years,34.3,7555,183327,37.5,"per 1,000"
1990,Oklahoma,15-17 years,38.8,2528,183327,37.5,"per 1,000"
1990,Oregon,15-17 years,30.7,1659,183327,37.5,"per 1,000"
1990,Pennsylvania,15-17 years,28.4,6297,183327,37.5,"per 1,000"
1990,Rhode Island,15-17 years,31.6,552,183327,37.5,"per 1,000"
1990,South Carolina,15-17 years,47,3540,183327,37.5,"per 1,000"
1990,South Dakota,15-17 years,23.9,348,183327,37.5,"per 1,000"
1990,Tennessee,15-17 years,45,4515,183327,37.5,"per 1,000"
1990,Texas,15-17 years,48,17693,183327,37.5,"per 1,000"
1990,Total U.S.,15-17 years,37.5,183327,183327,37.5,"per 1,000"
1990,Utah,15-17 years,26.3,1161,183327,37.5,"per 1,000"
1990,Vermont,15-17 years,19.5,209,183327,37.5,"per 1,000"
1990,Virginia,15-17 years,32.1,3746,183327,37.5,"per 1,000"
1990,Washington,15-17 years,29.6,2677,183327,37.5,"per 1,000"
1990,West Virginia,15-17 years,33,1313,183327,37.5,"per 1,000"
1990,Wisconsin,15-17 years,24.2,2329,183327,37.5,"per 1,000"
1990,Wyoming,15-17 years,29.7,304,183327,37.5,"per 1,000"
1991,Alabama,15-17 years,47.8,4202,188226,38.6,"per 1,000"
1991,Alaska,15-17 years,34.7,395,188226,38.6,"per 1,000"
1991,Arizona,15-17 years,50.7,3728,188226,38.6,"per 1,000"
1991,Arkansas,15-17 years,49.1,2493,188226,38.6,"per 1,000"
1991,California,15-17 years,46.2,25950,188226,38.6,"per 1,000"
1991,Colorado,15-17 years,35.1,2234,188226,38.6,"per 1,000"
1991,Connecticut,15-17 years,26.2,1465,188226,38.6,"per 1,000"
1991,Delaware,15-17 years,39.9,486,188226,38.6,"per 1,000"
1991,District of Columbia,15-17 years,102.4,856,188226,38.6,"per 1,000"
1991,Florida,15-17 years,43.4,9737,188226,38.6,"per 1,000"
1991,Georgia,15-17 years,50.4,6841,188226,38.6,"per 1,000"
1991,Hawaii,15-17 years,34.4,707,188226,38.6,"per 1,000"
1991,Idaho,15-17 years,29.4,724,188226,38.6,"per 1,000"
1991,Illinois,15-17 years,40.5,9038,188226,38.6,"per 1,000"
1991,Indiana,15-17 years,35.4,4095,188226,38.6,"per 1,000"
1991,Iowa,15-17 years,22.8,1278,188226,38.6,"per 1,000"
1991,Kansas,15-17 years,29.3,1433,188226,38.6,"per 1,000"
1991,Kentucky,15-17 years,42.8,3342,188226,38.6,"per 1,000"
1991,Louisiana,15-17 years,51.1,4802,188226,38.6,"per 1,000"
1991,Maine,15-17 years,23.7,567,188226,38.6,"per 1,000"
1991,Maryland,15-17 years,35,2966,188226,38.6,"per 1,000"
1991,Massachusetts,15-17 years,25.1,2519,188226,38.6,"per 1,000"
1991,Michigan,15-17 years,35.6,6773,188226,38.6,"per 1,000"
1991,Minnesota,15-17 years,20.7,1749,188226,38.6,"per 1,000"
1991,Mississippi,15-17 years,60.3,3670,188226,38.6,"per 1,000"
1991,Missouri,15-17 years,38.9,3912,188226,38.6,"per 1,000"
1991,Montana,15-17 years,23.4,402,188226,38.6,"per 1,000"
1991,Nebraska,15-17 years,23.5,761,188226,38.6,"per 1,000"
1991,Nevada,15-17 years,43.8,962,188226,38.6,"per 1,000"
1991,New Hampshire,15-17 years,17,335,188226,38.6,"per 1,000"
1991,New Jersey,15-17 years,26.2,3685,188226,38.6,"per 1,000"
1991,New Mexico,15-17 years,49.7,1695,188226,38.6,"per 1,000"
1991,New York,15-17 years,28.8,9586,188226,38.6,"per 1,000"
1991,North Carolina,15-17 years,46.3,6004,188226,38.6,"per 1,000"
1991,North Dakota,15-17 years,18.1,235,188226,38.6,"per 1,000"
1991,Ohio,15-17 years,36.3,7875,188226,38.6,"per 1,000"
1991,Oklahoma,15-17 years,41.6,2733,188226,38.6,"per 1,000"
1991,Oregon,15-17 years,31.2,1765,188226,38.6,"per 1,000"
1991,Pennsylvania,15-17 years,29.2,6348,188226,38.6,"per 1,000"
1991,Rhode Island,15-17 years,30.1,506,188226,38.6,"per 1,000"
1991,South Carolina,15-17 years,48,3569,188226,38.6,"per 1,000"
1991,South Dakota,15-17 years,26.2,395,188226,38.6,"per 1,000"
1991,Tennessee,15-17 years,47.7,4712,188226,38.6,"per 1,000"
1991,Texas,15-17 years,50,18653,188226,38.6,"per 1,000"
1991,Total U.S.,15-17 years,38.6,188226,188226,38.6,"per 1,000"
1991,Utah,15-17 years,26.9,1275,188226,38.6,"per 1,000"
1991,Vermont,15-17 years,21.2,225,188226,38.6,"per 1,000"
1991,Virginia,15-17 years,31.5,3648,188226,38.6,"per 1,000"
1991,Washington,15-17 years,30.9,2907,188226,38.6,"per 1,000"
1991,West Virginia,15-17 years,32.6,1272,188226,38.6,"per 1,000"
1991,Wisconsin,15-17 years,24.8,2439,188226,38.6,"per 1,000"
1991,Wyoming,15-17 years,26.3,277,188226,38.6,"per 1,000"
1992,Alabama,15-17 years,46.1,4116,187549,37.6,"per 1,000"
1992,Alaska,15-17 years,34.3,409,187549,37.6,"per 1,000"
1992,Arizona,15-17 years,50.5,3842,187549,37.6,"per 1,000"
1992,Arkansas,15-17 years,46.1,2403,187549,37.6,"per 1,000"
1992,California,15-17 years,45.3,26010,187549,37.6,"per 1,000"
1992,Colorado,15-17 years,36.4,2423,187549,37.6,"per 1,000"
1992,Connecticut,15-17 years,25.7,1441,187549,37.6,"per 1,000"
1992,Delaware,15-17 years,43.3,545,187549,37.6,"per 1,000"
1992,District of Columbia,15-17 years,84.7,699,187549,37.6,"per 1,000"
1992,Florida,15-17 years,41.7,9559,187549,37.6,"per 1,000"
1992,Georgia,15-17 years,48.1,6662,187549,37.6,"per 1,000"
1992,Hawaii,15-17 years,31,660,187549,37.6,"per 1,000"
1992,Idaho,15-17 years,28.4,748,187549,37.6,"per 1,000"
1992,Illinois,15-17 years,40,9129,187549,37.6,"per 1,000"
1992,Indiana,15-17 years,34.8,4081,187549,37.6,"per 1,000"
1992,Iowa,15-17 years,21.1,1223,187549,37.6,"per 1,000"
1992,Kansas,15-17 years,30.2,1536,187549,37.6,"per 1,000"
1992,Kentucky,15-17 years,38.9,3112,187549,37.6,"per 1,000"
1992,Louisiana,15-17 years,52.2,5071,187549,37.6,"per 1,000"
1992,Maine,15-17 years,21.1,509,187549,37.6,"per 1,000"
1992,Maryland,15-17 years,32.6,2812,187549,37.6,"per 1,000"
1992,Massachusetts,15-17 years,24.5,2448,187549,37.6,"per 1,000"
1992,Michigan,15-17 years,33.9,6478,187549,37.6,"per 1,000"
1992,Minnesota,15-17 years,20.5,1804,187549,37.6,"per 1,000"
1992,Mississippi,15-17 years,58.8,3662,187549,37.6,"per 1,000"
1992,Missouri,15-17 years,38.3,3947,187549,37.6,"per 1,000"
1992,Montana,15-17 years,25.4,461,187549,37.6,"per 1,000"
1992,Nebraska,15-17 years,22.8,759,187549,37.6,"per 1,000"
1992,Nevada,15-17 years,42.4,972,187549,37.6,"per 1,000"
1992,New Hampshire,15-17 years,14.7,294,187549,37.6,"per 1,000"
1992,New Jersey,15-17 years,24.1,3439,187549,37.6,"per 1,000"
1992,New Mexico,15-17 years,50.9,1808,187549,37.6,"per 1,000"
1992,New York,15-17 years,28.5,9658,187549,37.6,"per 1,000"
1992,North Carolina,15-17 years,43.8,5746,187549,37.6,"per 1,000"
1992,North Dakota,15-17 years,17.8,239,187549,37.6,"per 1,000"
1992,Ohio,15-17 years,34.8,7666,187549,37.6,"per 1,000"
1992,Oklahoma,15-17 years,41,2778,187549,37.6,"per 1,000"
1992,Oregon,15-17 years,30.2,1795,187549,37.6,"per 1,000"
1992,Pennsylvania,15-17 years,28.6,6308,187549,37.6,"per 1,000"
1992,Rhode Island,15-17 years,29.6,500,187549,37.6,"per 1,000"
1992,South Carolina,15-17 years,45.6,3434,187549,37.6,"per 1,000"
1992,South Dakota,15-17 years,26.6,424,187549,37.6,"per 1,000"
1992,Tennessee,15-17 years,44.3,4460,187549,37.6,"per 1,000"
1992,Texas,15-17 years,50.5,19296,187549,37.6,"per 1,000"
1992,Total U.S.,15-17 years,37.6,187549,187549,37.6,"per 1,000"
1992,Utah,15-17 years,25.9,1338,187549,37.6,"per 1,000"
1992,Vermont,15-17 years,17.1,186,187549,37.6,"per 1,000"
1992,Virginia,15-17 years,30.7,3622,187549,37.6,"per 1,000"
1992,Washington,15-17 years,30.7,3039,187549,37.6,"per 1,000"
1992,West Virginia,15-17 years,32.7,1299,187549,37.6,"per 1,000"
1992,Wisconsin,15-17 years,23.9,2427,187549,37.6,"per 1,000"
1992,Wyoming,15-17 years,24.8,272,187549,37.6,"per 1,000"
1993,Alabama,15-17 years,47.3,4278,190535,37.5,"per 1,000"
1993,Alaska,15-17 years,33.6,416,190535,37.5,"per 1,000"
1993,Arizona,15-17 years,49.1,3868,190535,37.5,"per 1,000"
1993,Arkansas,15-17 years,45.1,2388,190535,37.5,"per 1,000"
1993,California,15-17 years,45.3,26352,190535,37.5,"per 1,000"
1993,Colorado,15-17 years,35.3,2431,190535,37.5,"per 1,000"
1993,Connecticut,15-17 years,26.2,1478,190535,37.5,"per 1,000"
1993,Delaware,15-17 years,38.5,496,190535,37.5,"per 1,000"
1993,District of Columbia,15-17 years,94.4,784,190535,37.5,"per 1,000"
1993,Florida,15-17 years,41.4,9729,190535,37.5,"per 1,000"
1993,Georgia,15-17 years,48.4,6880,190535,37.5,"per 1,000"
1993,Hawaii,15-17 years,29.1,633,190535,37.5,"per 1,000"
1993,Idaho,15-17 years,29.1,809,190535,37.5,"per 1,000"
1993,Illinois,15-17 years,40.8,9445,190535,37.5,"per 1,000"
1993,Indiana,15-17 years,34.2,4073,190535,37.5,"per 1,000"
1993,Iowa,15-17 years,23.2,1376,190535,37.5,"per 1,000"
1993,Kansas,15-17 years,30.9,1615,190535,37.5,"per 1,000"
1993,Kentucky,15-17 years,39.5,3222,190535,37.5,"per 1,000"
1993,Louisiana,15-17 years,52.2,5176,190535,37.5,"per 1,000"
1993,Maine,15-17 years,20,488,190535,37.5,"per 1,000"
1993,Maryland,15-17 years,33.4,2945,190535,37.5,"per 1,000"
1993,Massachusetts,15-17 years,23.5,2361,190535,37.5,"per 1,000"
1993,Michigan,15-17 years,33,6369,190535,37.5,"per 1,000"
1993,Minnesota,15-17 years,20.5,1861,190535,37.5,"per 1,000"
1993,Mississippi,15-17 years,57,3611,190535,37.5,"per 1,000"
1993,Missouri,15-17 years,36.5,3855,190535,37.5,"per 1,000"
1993,Montana,15-17 years,26.4,499,190535,37.5,"per 1,000"
1993,Nebraska,15-17 years,22.6,768,190535,37.5,"per 1,000"
1993,Nevada,15-17 years,44.9,1082,190535,37.5,"per 1,000"
1993,New Hampshire,15-17 years,14.8,302,190535,37.5,"per 1,000"
1993,New Jersey,15-17 years,24.8,3572,190535,37.5,"per 1,000"
1993,New Mexico,15-17 years,53,1958,190535,37.5,"per 1,000"
1993,New York,15-17 years,29,9953,190535,37.5,"per 1,000"
1993,North Carolina,15-17 years,43.1,5743,190535,37.5,"per 1,000"
1993,North Dakota,15-17 years,17.5,242,190535,37.5,"per 1,000"
1993,Ohio,15-17 years,34.8,7739,190535,37.5,"per 1,000"
1993,Oklahoma,15-17 years,40.3,2772,190535,37.5,"per 1,000"
1993,Oregon,15-17 years,30.1,1843,190535,37.5,"per 1,000"
1993,Pennsylvania,15-17 years,28.3,6303,190535,37.5,"per 1,000"
1993,Rhode Island,15-17 years,33.3,572,190535,37.5,"per 1,000"
1993,South Carolina,15-17 years,43,3279,190535,37.5,"per 1,000"
1993,South Dakota,15-17 years,24.7,406,190535,37.5,"per 1,000"
1993,Tennessee,15-17 years,43,4419,190535,37.5,"per 1,000"
1993,Texas,15-17 years,50.8,19812,190535,37.5,"per 1,000"
1993,Total U.S.,15-17 years,37.5,190535,190535,37.5,"per 1,000"
1993,Utah,15-17 years,25.3,1400,190535,37.5,"per 1,000"
1993,Vermont,15-17 years,16.8,186,190535,37.5,"per 1,000"
1993,Virginia,15-17 years,30.2,3621,190535,37.5,"per 1,000"
1993,Washington,15-17 years,29.4,2997,190535,37.5,"per 1,000"
1993,West Virginia,15-17 years,33.5,1341,190535,37.5,"per 1,000"
1993,Wisconsin,15-17 years,23.9,2483,190535,37.5,"per 1,000"
1993,Wyoming,15-17 years,26.9,304,190535,37.5,"per 1,000"
1994,Alabama,15-17 years,49.6,4597,195169,37.2,"per 1,000"
1994,Alaska,15-17 years,33.1,426,195169,37.2,"per 1,000"
1994,Arizona,15-17 years,50.1,4127,195169,37.2,"per 1,000"
1994,Arkansas,15-17 years,47.6,2593,195169,37.2,"per 1,000"
1994,California,15-17 years,44.1,26423,195169,37.2,"per 1,000"
1994,Colorado,15-17 years,35,2517,195169,37.2,"per 1,000"
1994,Connecticut,15-17 years,28.7,1652,195169,37.2,"per 1,000"
1994,Delaware,15-17 years,43.4,582,195169,37.2,"per 1,000"
1994,District of Columbia,15-17 years,79.6,682,195169,37.2,"per 1,000"
1994,Florida,15-17 years,41.5,10145,195169,37.2,"per 1,000"
1994,Georgia,15-17 years,47.9,7105,195169,37.2,"per 1,000"
1994,Hawaii,15-17 years,30.9,696,195169,37.2,"per 1,000"
1994,Idaho,15-17 years,26.6,788,195169,37.2,"per 1,000"
1994,Illinois,15-17 years,40.3,9590,195169,37.2,"per 1,000"
1994,Indiana,15-17 years,34.7,4240,195169,37.2,"per 1,000"
1994,Iowa,15-17 years,22.9,1403,195169,37.2,"per 1,000"
1994,Kansas,15-17 years,30.3,1648,195169,37.2,"per 1,000"
1994,Kentucky,15-17 years,39.5,3306,195169,37.2,"per 1,000"
1994,Louisiana,15-17 years,50.8,5200,195169,37.2,"per 1,000"
1994,Maine,15-17 years,18.2,454,195169,37.2,"per 1,000"
1994,Maryland,15-17 years,32.1,2913,195169,37.2,"per 1,000"
1994,Massachusetts,15-17 years,23.6,2432,195169,37.2,"per 1,000"
1994,Michigan,15-17 years,31.9,6303,195169,37.2,"per 1,000"
1994,Minnesota,15-17 years,19.9,1896,195169,37.2,"per 1,000"
1994,Mississippi,15-17 years,57.5,3739,195169,37.2,"per 1,000"
1994,Missouri,15-17 years,35.4,3872,195169,37.2,"per 1,000"
1994,Montana,15-17 years,22.2,438,195169,37.2,"per 1,000"
1994,Nebraska,15-17 years,24.2,851,195169,37.2,"per 1,000"
1994,Nevada,15-17 years,46.5,1214,195169,37.2,"per 1,000"
1994,New Hampshire,15-17 years,14.6,311,195169,37.2,"per 1,000"
1994,New Jersey,15-17 years,25,3700,195169,37.2,"per 1,000"
1994,New Mexico,15-17 years,51.3,1988,195169,37.2,"per 1,000"
1994,New York,15-17 years,28.7,10054,195169,37.2,"per 1,000"
1994,North Carolina,15-17 years,43.6,5981,195169,37.2,"per 1,000"
1994,North Dakota,15-17 years,15.3,218,195169,37.2,"per 1,000"
1994,Ohio,15-17 years,33.7,7698,195169,37.2,"per 1,000"
1994,Oklahoma,15-17 years,40.4,2855,195169,37.2,"per 1,000"
1994,Oregon,15-17 years,29.8,1904,195169,37.2,"per 1,000"
1994,Pennsylvania,15-17 years,27.9,6373,195169,37.2,"per 1,000"
1994,Rhode Island,15-17 years,32.1,568,195169,37.2,"per 1,000"
1994,South Carolina,15-17 years,44.7,3506,195169,37.2,"per 1,000"
1994,South Dakota,15-17 years,22.9,392,195169,37.2,"per 1,000"
1994,Tennessee,15-17 years,42.7,4547,195169,37.2,"per 1,000"
1994,Texas,15-17 years,51.2,20680,195169,37.2,"per 1,000"
1994,Total U.S.,15-17 years,37.2,195169,195169,37.2,"per 1,000"
1994,Utah,15-17 years,24.4,1433,195169,37.2,"per 1,000"
1994,Vermont,15-17 years,16.2,187,195169,37.2,"per 1,000"
1994,Virginia,15-17 years,30.8,3798,195169,37.2,"per 1,000"
1994,Washington,15-17 years,28.5,3039,195169,37.2,"per 1,000"
1994,West Virginia,15-17 years,32.7,1320,195169,37.2,"per 1,000"
1994,Wisconsin,15-17 years,23.2,2489,195169,37.2,"per 1,000"
1994,Wyoming,15-17 years,25.1,296,195169,37.2,"per 1,000"
1995,Alabama,15-17 years,45.7,4347,192508,35.5,"per 1,000"
1995,Alaska,15-17 years,30.3,402,192508,35.5,"per 1,000"
1995,Arizona,15-17 years,47.5,4178,192508,35.5,"per 1,000"
1995,Arkansas,15-17 years,46.6,2628,192508,35.5,"per 1,000"
1995,California,15-17 years,41.7,25861,192508,35.5,"per 1,000"
1995,Colorado,15-17 years,33.3,2511,192508,35.5,"per 1,000"
1995,Connecticut,15-17 years,26.4,1555,192508,35.5,"per 1,000"
1995,Delaware,15-17 years,38.5,535,192508,35.5,"per 1,000"
1995,District of Columbia,15-17 years,66.7,592,192508,35.5,"per 1,000"
1995,Florida,15-17 years,39.3,9993,192508,35.5,"per 1,000"
1995,Georgia,15-17 years,47.6,7351,192508,35.5,"per 1,000"
1995,Hawaii,15-17 years,26.8,618,192508,35.5,"per 1,000"
1995,Idaho,15-17 years,26.6,818,192508,35.5,"per 1,000"
1995,Illinois,15-17 years,37.6,9246,192508,35.5,"per 1,000"
1995,Indiana,15-17 years,34.5,4348,192508,35.5,"per 1,000"
1995,Iowa,15-17 years,22.3,1415,192508,35.5,"per 1,000"
1995,Kansas,15-17 years,30,1692,192508,35.5,"per 1,000"
1995,Kentucky,15-17 years,38.8,3305,192508,35.5,"per 1,000"
1995,Louisiana,15-17 years,44.9,4747,192508,35.5,"per 1,000"
1995,Maine,15-17 years,19.3,493,192508,35.5,"per 1,000"
1995,Maryland,15-17 years,31.4,2964,192508,35.5,"per 1,000"
1995,Massachusetts,15-17 years,21.5,2282,192508,35.5,"per 1,000"
1995,Michigan,15-17 years,30.3,6161,192508,35.5,"per 1,000"
1995,Minnesota,15-17 years,19.5,1951,192508,35.5,"per 1,000"
1995,Mississippi,15-17 years,56.9,3813,192508,35.5,"per 1,000"
1995,Missouri,15-17 years,32.5,3700,192508,35.5,"per 1,000"
1995,Montana,15-17 years,22.9,468,192508,35.5,"per 1,000"
1995,Nebraska,15-17 years,22,806,192508,35.5,"per 1,000"
1995,Nevada,15-17 years,44.1,1236,192508,35.5,"per 1,000"
1995,New Hampshire,15-17 years,14.8,329,192508,35.5,"per 1,000"
1995,New Jersey,15-17 years,23.9,3613,192508,35.5,"per 1,000"
1995,New Mexico,15-17 years,48.2,1951,192508,35.5,"per 1,000"
1995,New York,15-17 years,26.4,9392,192508,35.5,"per 1,000"
1995,North Carolina,15-17 years,41.9,5892,192508,35.5,"per 1,000"
1995,North Dakota,15-17 years,17.8,262,192508,35.5,"per 1,000"
1995,Ohio,15-17 years,32.6,7653,192508,35.5,"per 1,000"
1995,Oklahoma,15-17 years,38.6,2814,192508,35.5,"per 1,000"
1995,Oregon,15-17 years,29.7,1981,192508,35.5,"per 1,000"
1995,Pennsylvania,15-17 years,26.2,6134,192508,35.5,"per 1,000"
1995,Rhode Island,15-17 years,26.1,475,192508,35.5,"per 1,000"
1995,South Carolina,15-17 years,42.2,3388,192508,35.5,"per 1,000"
1995,South Dakota,15-17 years,21.4,381,192508,35.5,"per 1,000"
1995,Tennessee,15-17 years,41.4,4553,192508,35.5,"per 1,000"
1995,Texas,15-17 years,49.9,21018,192508,35.5,"per 1,000"
1995,Total U.S.,15-17 years,35.5,192508,192508,35.5,"per 1,000"
1995,Utah,15-17 years,24.5,1488,192508,35.5,"per 1,000"
1995,Vermont,15-17 years,10.6,128,192508,35.5,"per 1,000"
1995,Virginia,15-17 years,30.1,3835,192508,35.5,"per 1,000"
1995,Washington,15-17 years,28.1,3122,192508,35.5,"per 1,000"
1995,West Virginia,15-17 years,30.5,1238,192508,35.5,"per 1,000"
1995,Wisconsin,15-17 years,22.8,2541,192508,35.5,"per 1,000"
1995,Wyoming,15-17 years,24.8,304,192508,35.5,"per 1,000"
1996,Alabama,15-17 years,43.7,4207,185721,33.3,"per 1,000"
1996,Alaska,15-17 years,26.7,370,185721,33.3,"per 1,000"
1996,Arizona,15-17 years,46.6,4326,185721,33.3,"per 1,000"
1996,Arkansas,15-17 years,43.6,2528,185721,33.3,"per 1,000"
1996,California,15-17 years,37.2,24088,185721,33.3,"per 1,000"
1996,Colorado,15-17 years,30.8,2430,185721,33.3,"per 1,000"
1996,Connecticut,15-17 years,24.1,1443,185721,33.3,"per 1,000"
1996,Delaware,15-17 years,39.5,569,185721,33.3,"per 1,000"
1996,District of Columbia,15-17 years,67.3,595,185721,33.3,"per 1,000"
1996,Florida,15-17 years,36,9509,185721,33.3,"per 1,000"
1996,Georgia,15-17 years,44.6,7132,185721,33.3,"per 1,000"
1996,Hawaii,15-17 years,26.9,638,185721,33.3,"per 1,000"
1996,Idaho,15-17 years,26.2,829,185721,33.3,"per 1,000"
1996,Illinois,15-17 years,35.1,8913,185721,33.3,"per 1,000"
1996,Indiana,15-17 years,32.8,4204,185721,33.3,"per 1,000"
1996,Iowa,15-17 years,21.5,1397,185721,33.3,"per 1,000"
1996,Kansas,15-17 years,27.7,1619,185721,33.3,"per 1,000"
1996,Kentucky,15-17 years,36.8,3154,185721,33.3,"per 1,000"
1996,Louisiana,15-17 years,42.6,4607,185721,33.3,"per 1,000"
1996,Maine,15-17 years,16.9,436,185721,33.3,"per 1,000"
1996,Maryland,15-17 years,29.3,2841,185721,33.3,"per 1,000"
1996,Massachusetts,15-17 years,19.7,2143,185721,33.3,"per 1,000"
1996,Michigan,15-17 years,28.5,5915,185721,33.3,"per 1,000"
1996,Minnesota,15-17 years,18.7,1937,185721,33.3,"per 1,000"
1996,Mississippi,15-17 years,51.3,3501,185721,33.3,"per 1,000"
1996,Missouri,15-17 years,31,3638,185721,33.3,"per 1,000"
1996,Montana,15-17 years,21.3,445,185721,33.3,"per 1,000"
1996,Nebraska,15-17 years,22.2,841,185721,33.3,"per 1,000"
1996,Nevada,15-17 years,42,1265,185721,33.3,"per 1,000"
1996,New Hampshire,15-17 years,15.3,353,185721,33.3,"per 1,000"
1996,New Jersey,15-17 years,22.4,3435,185721,33.3,"per 1,000"
1996,New Mexico,15-17 years,45.1,1892,185721,33.3,"per 1,000"
1996,New York,15-17 years,24.4,8767,185721,33.3,"per 1,000"
1996,North Carolina,15-17 years,41.3,5911,185721,33.3,"per 1,000"
1996,North Dakota,15-17 years,16.1,242,185721,33.3,"per 1,000"
1996,Ohio,15-17 years,29.6,7071,185721,33.3,"per 1,000"
1996,Oklahoma,15-17 years,37.1,2794,185721,33.3,"per 1,000"
1996,Oregon,15-17 years,29.3,2017,185721,33.3,"per 1,000"
1996,Pennsylvania,15-17 years,24.4,5811,185721,33.3,"per 1,000"
1996,Rhode Island,15-17 years,26.9,499,185721,33.3,"per 1,000"
1996,South Carolina,15-17 years,39.7,3259,185721,33.3,"per 1,000"
1996,South Dakota,15-17 years,22.4,409,185721,33.3,"per 1,000"
1996,Tennessee,15-17 years,39.6,4440,185721,33.3,"per 1,000"
1996,Texas,15-17 years,47.9,21065,185721,33.3,"per 1,000"
1996,Total U.S.,15-17 years,33.3,185721,185721,33.3,"per 1,000"
1996,Utah,15-17 years,23.6,1462,185721,33.3,"per 1,000"
1996,Vermont,15-17 years,15,187,185721,33.3,"per 1,000"
1996,Virginia,15-17 years,27.3,3571,185721,33.3,"per 1,000"
1996,Washington,15-17 years,26.2,3036,185721,33.3,"per 1,000"
1996,West Virginia,15-17 years,29,1158,185721,33.3,"per 1,000"
1996,Wisconsin,15-17 years,21.8,2507,185721,33.3,"per 1,000"
1996,Wyoming,15-17 years,25,315,185721,33.3,"per 1,000"
1997,Alabama,15-17 years,41.5,4033,180154,31.4,"per 1,000"
1997,Alaska,15-17 years,25.4,370,180154,31.4,"per 1,000"
1997,Arizona,15-17 years,44.4,4295,180154,31.4,"per 1,000"
1997,Arkansas,15-17 years,41.6,2437,180154,31.4,"per 1,000"
1997,California,15-17 years,34.3,23096,180154,31.4,"per 1,000"
1997,Colorado,15-17 years,30.4,2519,180154,31.4,"per 1,000"
1997,Connecticut,15-17 years,22.1,1344,180154,31.4,"per 1,000"
1997,Delaware,15-17 years,35.3,524,180154,31.4,"per 1,000"
1997,District of Columbia,15-17 years,54.6,476,180154,31.4,"per 1,000"
1997,Florida,15-17 years,34.2,9449,180154,31.4,"per 1,000"
1997,Georgia,15-17 years,43.1,7091,180154,31.4,"per 1,000"
1997,Hawaii,15-17 years,23.9,582,180154,31.4,"per 1,000"
1997,Idaho,15-17 years,22.9,742,180154,31.4,"per 1,000"
1997,Illinois,15-17 years,33.3,8642,180154,31.4,"per 1,000"
1997,Indiana,15-17 years,31.8,4138,180154,31.4,"per 1,000"
1997,Iowa,15-17 years,20.3,1333,180154,31.4,"per 1,000"
1997,Kansas,15-17 years,27.4,1655,180154,31.4,"per 1,000"
1997,Kentucky,15-17 years,34.7,3008,180154,31.4,"per 1,000"
1997,Louisiana,15-17 years,41,4499,180154,31.4,"per 1,000"
1997,Maine,15-17 years,15.5,407,180154,31.4,"per 1,000"
1997,Maryland,15-17 years,27.4,2755,180154,31.4,"per 1,000"
1997,Massachusetts,15-17 years,18.8,2107,180154,31.4,"per 1,000"
